         262244 function calls (260113 primitive calls) in 0.402 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3123    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000001AE863AD8A0}
      255    0.000    0.000    0.003    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:814(from_extents)
       69    0.000    0.000    0.005    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
       30    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:671(recache)
     1041    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:158(invalidate)
      354    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:1899(__init__)
     3759    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      399    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      927    0.000    0.000    0.003    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:415(pchanged)
      195    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:2594(__init__)
      453    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:103(_stale_axes_callback)
      390    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:2040(translate)
        3    0.000    0.000    0.060    0.020 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:1257(__clear)
     6393    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        3    0.000    0.000    0.159    0.053 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_axes.py:6701(hist)
      276    0.000    0.000    0.009    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
      501    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\contextlib.py:141(__exit__)
      198    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\patches.py:782(_convert_units)
     1008    0.000    0.000    0.002    0.000 {built-in method builtins.next}
     18/6    0.000    0.000    0.041    0.007 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:912(reset_ticks)
    93/72    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:2450(get_affine)
       36    0.000    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:329(_apply_params)
      501    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\contextlib.py:299(helper)
   108/24    0.000    0.000    0.028    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\spines.py:339(get_spine_transform)
      213    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\colors.py:275(to_rgba)
      498    0.000    0.000    0.003    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:1350(__add__)
      201    0.000    0.000    0.013    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\patches.py:306(get_transform)
      495    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\pyplot.py:1059(_auto_draw_if_interactive)
      126    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
      603    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      315    0.000    0.000    0.010    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:1220(set)
      234    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:1202(_set_markercolor)
       69    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\font_manager.py:851(set_file)
     2349    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:293(axes)
      126    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\markers.py:250(_recache)
     1323    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:198(<lambda>)
      714    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_function_base_impl.py:346(iterable)
       78    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:1143(set_linestyle)
      315    0.000    0.000    0.010    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:147(<lambda>)
      195    0.000    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\patches.py:924(get_bbox)
     1563    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      129    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\font_manager.py:821(set_size)
       69    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\font_manager.py:602(__init__)
      501    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\contextlib.py:132(__enter__)
      495    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\figure.py:65(_stale_figure_callback)
    48/27    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\units.py:164(get_converter)
      186    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:1275(set_xdata)
      138    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\cbook.py:924(get_siblings)
       75    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\copy.py:259(_reconstruct)
        9    0.000    0.000    0.003    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
       33    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_shape_base_impl.py:633(column_stack)
      372    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\colors.py:216(_is_nth_color)
  336/189    0.000    0.000    0.048    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
        6    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\backends\backend_agg.py:392(get_renderer)
      495    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\__init__.py:1291(is_interactive)
      3/1    0.000    0.000    0.398    0.398 {method 'emit' of 'PySide2.QtCore.SignalInstance' objects}
      795    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    57/54    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:1787(__eq__)
      396    0.000    0.000    0.008    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:1209(_internal_update)
      189    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:795(unit)
      174    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\cbook.py:181(__init__)
      186    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:1294(set_ydata)
      144    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
        9    0.000    0.000    0.000    0.000 {built-in method osgeo._gdal.Band_GetVirtualMemAuto}
        9    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
       45    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:918(get_window_extent)
      255    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\fromnumeric.py:215(reshape)
      477    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:269(convert_xunits)
        6    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_arraysetops_impl.py:865(_in1d)
       81    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
      368    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:2834(nonsingular)
        9    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\linalg\_linalg.py:499(inv)
      360    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\enum.py:688(__call__)
      195    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:2008(rotate_deg)
       81    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:985(set_color)
       69    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\fromnumeric.py:89(_wrapreduction_any_all)
      150    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:647(set_data)
      165    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:436(set_transform)
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.cleanup_path}
      603    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        6    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\_layoutgrid.py:36(__init__)
       48    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\path.py:99(__init__)
       57    0.000    0.000    0.007    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:104(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_function_base_impl.py:1386(diff)
      207    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:1215(_set_lim)
        6    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_histograms_impl.py:362(_get_bin_edges)
